"nct_id","phase","overall_status","start_year","country_name","is_uk"
NCT00424866,PHASE1/PHASE2,NOT_YET_RECRUITING,2028,United States,false
NCT00610051,PHASE3,NOT_YET_RECRUITING,2026,Austria,false
NCT00837291,PHASE2,WITHDRAWN,2018,Israel,false
NCT01002495,PHASE1/PHASE2,WITHDRAWN,2015,United States,false
NCT01010373,PHASE2,SUSPENDED,2015,Israel,false
NCT01012752,PHASE3,UNKNOWN,2016,Germany,false
NCT01012882,PHASE3,UNKNOWN,2016,Germany,false
NCT01013116,PHASE3,UNKNOWN,2016,Spain,false
NCT01014325,PHASE3,UNKNOWN,2016,Spain,false
NCT01064466,PHASE2/PHASE3,ACTIVE_NOT_RECRUITING,2025,United States,false
NCT01217775,PHASE3,UNKNOWN,2016,United States,false
NCT01297400,PHASE2,RECRUITING,2022,Mexico,false
NCT01297400,PHASE2,RECRUITING,2022,United States,false
NCT01308528,PHASE3,COMPLETED,2015,Brazil,false
NCT01336660,PHASE2/PHASE3,COMPLETED,2018,Morocco,false
NCT01393223,PHASE2,COMPLETED,2015,United States,false
NCT01394679,PHASE3,NOT_YET_RECRUITING,2025,United States,false
NCT01451853,PHASE2,WITHDRAWN,2026,United States,false
NCT01481532,PHASE1,NOT_YET_RECRUITING,2026,France,false
NCT01520805,PHASE2,WITHDRAWN,2016,United States,false
NCT01531803,PHASE4,TERMINATED,2015,United States,false
NCT01543490,PHASE3,COMPLETED,2018,United States,false
NCT01613677,PHASE2,WITHDRAWN,2015,Brazil,false
NCT01620788,PHASE3,SUSPENDED,2019,Brazil,false
NCT01624532,PHASE2,COMPLETED,2021,South Korea,false
NCT01627795,PHASE1/PHASE2,SUSPENDED,2016,Israel,false
NCT01655407,PHASE2,UNKNOWN,2016,United States,false
NCT01657448,PHASE3,COMPLETED,2016,Brazil,false
NCT01663441,PHASE3,COMPLETED,2015,China,false
NCT01670552,PHASE3,COMPLETED,2016,Brazil,false
NCT01671956,PHASE2,TERMINATED,2015,Israel,false
NCT01676259,PHASE2,UNKNOWN,2018,Israel,false
NCT01676259,PHASE2,UNKNOWN,2018,United States,false
NCT01677689,PHASE2,NOT_YET_RECRUITING,2026,Taiwan,false
NCT01701193,PHASE1/PHASE2,COMPLETED,2015,Ukraine,false
NCT01702675,PHASE1,TERMINATED,2015,Brazil,false
